ID,Name,address,PhoneNumber
a0001,강재민,봉담읍,010-1234-5678
a0002,이기성,세류동,010-5555-4444
a0003,오진철,봉담읍,010-4444-4444
a0004,서주원,봉담읍,011-481-4552
a0005,김태훈,봉담읍,010-1215-4542
a0006,강한엔밝은빛,평창시,010-1564-1561
a0007,정상원,동탄동,010-1222-1548
a0008,차인표,제주도,010-1235-1558
a0009,나는상윤,궤법동,010-1232-1231
a0010,이름이영어야,하와이,010-1232-4568
a0011,조말생,한양,010-7555-4444
a0012,이방원,경복궁,010-1222-4888
a0013,이도,경복궁,010-1111-1111
a0014,하하,마포구,010-1111-1112
a0015,김희성,경성,010-1111-1113
a0016,고담덕,국내성,010-1111-1117
a0017,왕자림,네이버,010-1111-1115
